dong,ho,type,dong,ho,type
101,301,28A1,101,401,28A1
101,302,23A2,101,402,23A2
101,303,23A3,101,403,23A3
101,304,23A1,101,404,23A1
101,305,23A1,101,405,23A1
101,306,23A1,101,406,26A1
101,307,23A1,101,407,23A1
101,308,23A1,101,408,23A1
101,309,23A3,101,409,23A1
101,310,26A1,101,410,23A1
101,311,23A1,101,411,23A3
101,312,23A1,101,412,26A1
101,313,23A3,101,413,23A1
101,314,23A2,101,414,23A1
101,315,28A1,101,415,23A3
.,.,.,101,416,23A2
.,.,.,101,417,28A1
101,501,28A1,101,601,28A1
101,502,23A2,101,602,23A2
101,503,23A3,101,603,23A3
101,504,23A1,101,604,23A1
101,505,23A1,101,605,23A1
101,506,26A1,101,606,26A1
101,507,23A1,101,607,23A1
101,508,23A1,101,608,23A1
101,509,23A1,101,609,23A1
101,510,23A1,101,610,23A1
101,511,23A3,101,611,23A3
101,512,26A1,101,612,26A1
101,513,23A1,101,613,23A1
101,514,23A1,101,614,23A1
101,515,23A3,101,615,23A3
101,516,23A2,101,616,23A2
101,517,28A1,101,617,28A1
101,701,28A1,101,801,28A1
101,702,23A2,101,802,23A2
101,703,23A3,101,803,23A3
101,704,23A1,101,804,23A1
101,705,23A1,101,805,23A1
101,706,26A1,101,806,26A1
101,707,23A1,101,807,23A1
101,708,23A1,101,808,23A1
101,709,23A1,101,809,23A1
101,710,23A1,101,810,23A1
101,711,23A3,101,811,23A3
101,712,26A1,101,812,26A1
101,713,23A1,101,813,23A1
101,714,23A1,101,814,23A1
101,715,23A3,101,815,23A3
101,716,23A2,101,816,23A2
101,717,28A1,101,817,28A1
101,901,28A1,101,1001,28A1
101,902,23A2,101,1002,23A2
101,903,23A3,101,1003,23A3
101,904,23A1,101,1004,23A1
101,905,23A1,101,1005,23A1
101,906,26A1,101,1006,26A1
101,907,23A1,101,1007,23A1
101,908,23A1,101,1008,23A1
101,909,23A1,101,1009,23A1
101,910,23A1,101,1010,23A1
101,911,23A3,101,1011,23A3
101,912,26A1,101,1012,26A1
101,913,23A1,101,1013,23A1
101,914,23A1,101,1014,23A1
101,915,23A3,101,1015,23A3
101,916,23A2,101,1016,23A2
101,917,28A1,101,1017,28A1
101,1101,28A1,101,1201,28A1
101,1102,23A2,101,1202,23A2
101,1103,23A3,101,1203,23A3
101,1104,23A1,101,1204,23A1
101,1105,23A1,101,1205,23A1
101,1106,26A1,101,1206,26A1
101,1107,23A1,101,1207,23A1
101,1108,23A1,101,1208,23A1
101,1109,23A1,101,1209,23A1
101,1110,23A1,101,1210,23A1
101,1111,23A3,101,1211,23A3
101,1112,26A1,101,1212,26A1
101,1113,23A1,101,1213,23A1
101,1114,23A1,101,1214,23A1
101,1115,23A3,101,1215,23A3
101,1116,23A2,101,1216,23A2
101,1117,28A1,101,1217,28A1
101,1301,28A1,101,1401,28A1
101,1302,23A2,101,1402,23A2
101,1303,23A3,101,1403,23A3
101,1304,23A1,101,1404,23A1
101,1305,23A1,101,1405,23A1
101,1306,26A1,101,1406,26A1
101,1307,23A1,101,1407,23A1
101,1308,23A1,101,1408,23A1
101,1309,23A1,101,1409,23A1
101,1310,23A1,101,1410,23A1
101,1311,23A3,101,1411,23A3
101,1312,26A1,101,1412,26A1
101,1313,23A1,101,1413,23A1
101,1314,23A1,101,1414,23A1
101,1315,23A3,101,1415,23A3
101,1316,23A2,101,1416,23A2
101,1317,28A1,101,1417,28A1
101,1501,28A1,101,1601,28A1
101,1502,23A2,101,1602,23A2
101,1503,23A3,101,1603,23A3
101,1504,23A1,101,1604,23A1
101,1505,23A1,101,1605,23A1
101,1506,26A1,101,1606,26A1
101,1507,23A1,101,1607,23A1
101,1508,23A1,101,1608,23A1
101,1509,23A1,101,1609,23A1
101,1510,23A1,101,1610,23A1
101,1511,23A3,101,1611,23A3
101,1512,26A1,101,1612,26A1
101,1513,23A1,101,1613,23A1
101,1514,23A1,101,1614,23A1
101,1515,23A3,101,1615,23A3
101,1516,23A2,101,1616,23A2
101,1517,28A1,101,1617,28A1
101,1701,28A1,101,1801,28A1
101,1702,23A2,101,1802,23A2
101,1703,23A3,101,1803,23A3
101,1704,23A1,101,1804,23A1
101,1705,23A1,101,1805,23A1
101,1706,26A1,101,1806,26A1
101,1707,23A1,101,1807,23A1
101,1708,23A1,101,1808,23A1
101,1709,23A1,101,1809,23A1
101,1710,23A1,101,1810,23A1
101,1711,23A3,101,1811,23A3
101,1712,26A1,101,1812,26A1
101,1713,23A1,101,1813,23A1
101,1714,23A1,101,1814,23A1
101,1715,23A3,101,1815,23A3
101,1716,23A2,101,1816,23A2
101,1717,28A1,101,1817,28A1
101,1901,28A1,101,2001,28A1
101,1902,23A2,101,2002,23A2
101,1903,23A3,101,2003,23A3
101,1904,23A1,101,2004,23A1
101,1905,23A1,101,2005,23A1
101,1906,26A1,101,2006,26A1
101,1907,23A1,101,2007,23A1
101,1908,23A1,101,2008,23A1
101,1909,23A1,101,2009,23A1
101,1910,23A1,101,2010,23A1
101,1911,23A3,101,2011,23A3
101,1912,26A1,101,2012,26A1
101,1913,23A1,101,2013,23A1
101,1914,23A1,101,2014,23A1
101,1915,23A3,101,2015,23A3
101,1916,23A2,101,2016,23A2
101,1917,28A1,101,2017,28A1
102,301,28A1,102,401,28A1
102,302,23A3,102,402,23A3
102,303,23A1,102,403,23A1
102,304,23A1,102,404,23A1
102,305,23A1,102,405,23A1
102,306,23A1,102,406,23A1
102,307,23B2,102,407,23A3
102,308,23B1,102,408,26A1
102,309,23B1,102,409,23B2
102,310,23B1,102,410,23B1
102,311,23B1,102,411,23B1
102,312,23B1,102,412,23B1
102,313,23B1,102,413,23B1
102,314,23B1,102,414,23B1
102,315,26B1,102,415,23B1
102,316,23B3,102,416,23B1
102,317,23B3,102,417,27B1
102,318,23B3,102,418,23B3
102,319,23B3,102,419,23B3
102,320,23B3,102,420,23B3
102,321,23B3,102,421,23B3
102,322,23B3,102,422,23B3
.,.,.,102,423,23B3
.,.,.,102,424,23B3
102,501,28A1,102,601,28A1
102,502,23A3,102,602,23A3
102,503,23A1,102,603,23A1
102,504,23A1,102,604,23A1
102,505,23A1,102,605,23A1
102,506,23A1,102,606,23A1
102,507,23A3,102,607,23A3
102,508,26A1,102,608,26A1
102,509,23B2,102,609,23B2
102,510,23B1,102,610,23B1
102,511,23B1,102,611,23B1
102,512,23B1,102,612,23B1
102,513,23B1,102,613,23B1
102,514,23B1,102,614,23B1
102,515,23B1,102,615,23B1
102,516,23B1,102,616,23B1
102,517,27B1,102,617,27B1
102,518,23B3,102,618,23B3
102,519,23B3,102,619,23B3
102,520,23B3,102,620,23B3
102,521,23B3,102,621,23B3
102,522,23B3,102,622,23B3
102,523,23B3,102,623,23B3
102,524,23B3,102,624,23B3
102,701,28A1,102,801,28A1
102,702,23A3,102,802,23A3
102,703,23A1,102,803,23A1
102,704,23A1,102,804,23A1
102,705,23A1,102,805,23A1
102,706,23A1,102,806,23A1
102,707,23A3,102,807,23A3
102,708,26A1,102,808,26A1
102,709,23B2,102,809,23B2
102,710,23B1,102,810,23B1
102,711,23B1,102,811,23B1
102,712,23B1,102,812,23B1
102,713,23B1,102,813,23B1
102,714,23B1,102,814,23B1
102,715,23B1,102,815,23B1
102,716,23B1,102,816,23B1
102,717,27B1,102,817,27B1
102,718,23B3,102,818,23B3
102,719,23B3,102,819,23B3
102,720,23B3,102,820,23B3
102,721,23B3,102,821,23B3
102,722,23B3,102,822,23B3
102,723,23B3,102,823,23B3
102,724,23B3,102,824,23B3
102,901,28A1,102,1001,28A1
102,902,23A3,102,1002,23A3
102,903,23A1,102,1003,23A1
102,904,23A1,102,1004,23A1
102,905,23A1,102,1005,23A1
102,906,23A1,102,1006,23A1
102,907,23A3,102,1007,23A3
102,908,26A1,102,1008,26A1
102,909,23B2,102,1009,23B2
102,910,23B1,102,1010,23B1
102,911,23B1,102,1011,23B1
102,912,23B1,102,1012,23B1
102,913,23B1,102,1013,23B1
102,914,23B1,102,1014,23B1
102,915,23B1,102,1015,23B1
102,916,23B1,102,1016,23B1
102,917,27B1,102,1017,27B1
102,918,23B3,102,1018,23B3
102,919,23B3,102,1019,23B3
102,920,23B3,102,1020,23B3
102,921,23B3,102,1021,23B3
102,922,23B3,102,1022,23B3
102,923,23B3,102,1023,23B3
102,924,23B3,102,1024,23B3
102,1101,28A1,102,1201,28A1
102,1102,23A3,102,1202,23A3
102,1103,23A1,102,1203,23A1
102,1104,23A1,102,1204,23A1
102,1105,23A1,102,1205,23A1
102,1106,23A1,102,1206,23A1
